Clinical_Sponsor,Matched_Company,Ticker,Market_Cap_Millions,Currency,Total_RnD_Works_15_24,Forward_Citations
"Qilu Pharmaceutical Co., Ltd.",Ono Pharmaceutical,4528.T,1104048.04,JPY,30300,114957
"Tasly Tianjin Biopharmaceutical Co., Ltd.",Sino Biopharmaceutical,1177.HK,108435.58,HKD,784,19302
GlaxoSmithKline,GlaxoSmithKline,GSK,104383.81,USD,48803,286999
"Jong Taek, Lee",Takeda,TAK,56960.25,USD,252023,257404
Entia Ltd,Eisai,4523.T,1342929.4,JPY,29948,156488
Ethicon Endo-Surgery,Shionogi,4507.T,2865237.03,JPY,8190,71780
Hoffmann-La Roche,Roche,ROG.SW,256427.56,CHF,583709,402988
Hongxia Ma,HengRui,600276.SS,371815.94,CNY,5406,27917
"BioLite, Inc.",BioNTech,BNTX,22619.28,USD,33215,98470
Merck Sharp & Dohme LLC,Merck KGaA,MRK.DE,46542.97,EUR,48460,44690
Ardigen,Argenx,ARGX,42375.9,USD,2571,18719
AstraZeneca,AstraZeneca,AZN,292104.42,USD,115054,291424
Malagari Katerina,Kyowa Kirin,4151.T,1229150.25,JPY,10127,70136
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",CSPC Pharmaceutical,1093.HK,103030.52,HKD,571,6923
Innovent Biologics (Suzhou) Co. Ltd.,Innovent Biologics,1801.HK,140847.56,HKD,815,16018
Fatima Tariq,Zai Lab,ZLAB,2083.37,USD,3230,31753
Daiichi Sankyo,Daiichi Sankyo,4568.T,5368796.68,JPY,31775,180111
Ipsen,Ipsen,IPN.PA,12624.63,EUR,22341,100526
