Matched_Company,Ticker,Market_Cap_USD_Millions,Total_RnD_Works_15_24,Forward_Citations,Innovation_Premium_Multiplier,Market_Cap_Millions,Currency,Clinical_Sponsor
Eisai,4523.T,8997.63,29948,156488,0.0575,1342929.4,JPY,Entia Ltd
Ono Pharmaceutical,4528.T,7397.12,30300,114957,0.0643,1104048.04,JPY,"Qilu Pharmaceutical Co., Ltd."
Zai Lab,ZLAB,2083.37,3230,31753,0.0656,2083.37,USD,Fatima Tariq
Kyowa Kirin,4151.T,8235.31,10127,70136,0.1174,1229150.25,JPY,Malagari Katerina
Ipsen,IPN.PA,13760.85,22341,100526,0.1369,12624.63,EUR,Ipsen
Daiichi Sankyo,4568.T,35970.94,31775,180111,0.1997,5368796.68,JPY,Daiichi Sankyo
Takeda,TAK,56960.25,252023,257404,0.2213,56960.25,USD,"Jong Taek, Lee"
BioNTech,BNTX,22619.28,33215,98470,0.2297,22619.28,USD,"BioLite, Inc."
Shionogi,4507.T,19197.09,8190,71780,0.2674,2865237.03,JPY,Ethicon Endo-Surgery
GlaxoSmithKline,GSK,104383.81,48803,286999,0.3637,104383.81,USD,GlaxoSmithKline
Roche,ROG.SW,289763.14,583709,402988,0.719,256427.56,CHF,Hoffmann-La Roche
Sino Biopharmaceutical,1177.HK,14096.63,784,19302,0.7303,108435.58,HKD,"Tasly Tianjin Biopharmaceutical Co., Ltd."
AstraZeneca,AZN,292104.42,115054,291424,1.0023,292104.42,USD,AstraZeneca
Merck KGaA,MRK.DE,50731.84,48460,44690,1.1352,46542.97,EUR,Merck Sharp & Dohme LLC
Innovent Biologics,1801.HK,18310.18,815,16018,1.1431,140847.56,HKD,Innovent Biologics (Suzhou) Co. Ltd.
HengRui,600276.SS,52054.23,5406,27917,1.8646,371815.94,CNY,Hongxia Ma
CSPC Pharmaceutical,1093.HK,13393.97,571,6923,1.9347,103030.52,HKD,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd."
Argenx,ARGX,42375.9,2571,18719,2.2638,42375.9,USD,Ardigen
